"ID","symbol","log2FC","p.adjust","baseMean"
"ENSMUSG00000016349","Eef1a2",0.592755595,0.033415894,78.87794107
"ENSMUSG00000026234","Ncl",1.164764555,0.033415894,8.053196908
"ENSMUSG00000027805","Pfn2",0.998554232,0.033415894,15.66604114
"ENSMUSG00000020496","Rnf187",0.696232174,0.03736963,38.59162798
"ENSMUSG00000029838","Ptn",3.354610137,0.04832339,6.605468287
"ENSMUSG00000024953","Prdx5",0.776463758,0.064463401,23.01170179
"ENSMUSG00000017781","Pitpna",0.966771244,0.066194277,9.6713768
"ENSMUSG00000029121","Crmp1",1.045876367,0.066194277,34.450346
"ENSMUSG00000010914","Pdhx",1.249217988,0.07282398,5.853654351
"ENSMUSG00000017778","Cox7c",0.905338174,0.07282398,13.20024107
"ENSMUSG00000019370","Calm3",0.611994082,0.07282398,44.45119232
"ENSMUSG00000022841","Ap2m1",0.771905096,0.07282398,12.58443216
"ENSMUSG00000030122","Ptms",1.107140457,0.07282398,57.18364632
"ENSMUSG00000032366","Tpm1",1.111951934,0.07282398,11.32923463
"ENSMUSG00000034891","Sncb",0.895325874,0.07282398,31.18356062
"ENSMUSG00000036902","Neto2",1.438618971,0.07282398,6.379210866
"ENSMUSG00000039105","Atp6v1g1",1.099190178,0.07282398,7.289035962
"ENSMUSG00000045136","Tubb2b",2.324256122,0.07282398,13.32609021
"ENSMUSG00000047547","Cltb",0.971007837,0.07282398,19.11145384
"ENSMUSG00000047945","Marcksl1",2.511073183,0.07282398,8.88477568
"ENSMUSG00000053192","Mllt11",1.027537072,0.07282398,16.51398876
"ENSMUSG00000069662","Marcks",2.792029049,0.07282398,16.97156172
"ENSMUSG00000070493","Chchd2",0.871004693,0.07282398,21.16702355
"ENSMUSG00000062591","Tubb4a",1.134248286,0.08179584,26.10637518
"ENSMUSG00000020849","Ywhae",0.653115834,0.086028328,21.31036848
"ENSMUSG00000027500","Stmn2",0.791356711,0.086028328,37.94868007
"ENSMUSG00000032012","Nectin1",0.963888579,0.086028328,9.965184082
"ENSMUSG00000039108","Lsm14b",1.021273866,0.086028328,6.575133369
"ENSMUSG00000004070","Hmox2",0.807746627,0.090156865,8.818369624
"ENSMUSG00000051243","Islr2",1.946910594,0.093374987,13.58406982
"ENSMUSG00000045763","Basp1",1.512183137,0.095971148,16.81428039
"ENSMUSG00000020349","Ppp2ca",0.535765997,0.099289996,17.67011012
