"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Human Diseases","Neurodegenerative disease","mmu05016","Huntington disease","5/18","308/10649",0.0162337662337662,9.60407647907648,6.30494882546208,0.000123111203202051,0.0119417867105989,0.00907135181488795,"12867/11773/73710/74325/22153",5
"Organismal Systems","Nervous system","mmu04721","Synaptic vesicle cycle","3/18","77/10649",0.038961038961039,23.0497835497836,7.99013892842065,0.000274326500650537,0.013304835281551,0.0101067658134408,"11773/66290/74325",3
"Human Diseases","Neurodegenerative disease","mmu05012","Parkinson disease","4/18","274/10649",0.0145985401459854,8.63665855636659,5.26948068136208,0.000986725851189532,0.0262141563656434,0.0199130867671735,"12867/12315/73710/22153",4
"Cellular Processes","Cell growth and death","mmu04114","Oocyte meiosis","3/18","123/10649",0.024390243902439,14.429539295393,6.16403650281659,0.00108099613878942,0.0262141563656434,0.0199130867671735,"12315/22627/19052",3
"Organismal Systems","Circulatory system","mmu04261","Adrenergic signaling in cardiomyocytes","3/18","156/10649",0.0192307692307692,11.3771367521368,5.37246033109612,0.00214088341321749,0.0415331382164193,0.031549860826363,"12315/22003/19052",3
"Human Diseases","Neurodegenerative disease","mmu05014","Amyotrophic lateral sclerosis","4/18","376/10649",0.0106382978723404,6.29373522458629,4.30022033565649,0.00315818623276032,0.0432898381613113,0.032884304626064,"18645/12867/73710/22153",4
"Cellular Processes","Transport and catabolism","mmu04145","Phagosome","3/18","183/10649",0.0163934426229508,9.69854280510018,4.88387904197384,0.00336833518998856,0.0432898381613113,0.032884304626064,"66290/73710/22153",3
"Human Diseases","Neurodegenerative disease","mmu05010","Alzheimer disease","4/18","389/10649",0.0102827763496144,6.08340474150243,4.20280291359603,0.0035702959308298,0.0432898381613113,0.032884304626064,"12867/12315/73710/22153",4
"Cellular Processes","Cell motility","mmu04814","Motor proteins","3/18","198/10649",0.0151515151515152,8.96380471380471,4.65433338165078,0.00420447760410637,0.0451570497858117,0.034302696527475,"22003/73710/22153",3
"Organismal Systems","Excretory system","mmu04961","Endocrine and other factor-regulated calcium reabsorption","2/18","61/10649",0.0327868852459016,19.3970856102004,5.92911938665071,0.00465536595730018,0.0451570497858117,0.034302696527475,"11773/74325",2
