"cluster","celltype","score"
0,"Granule",0.742975762442322
1,"Granule",0.907676926762858
2,"Granule",0.617593387302088
4,"Bergmann_glia",1.98292043493313
5,"Interneurons",4.32282291947715
7,"Bergmann_glia",2.50445161538089
8,"Bergmann_glia",5.44016473755253
9,"Purkinje",3.6287159902434
10,"OPC",5.65683583870755
11,"Oligodendrocytes",5.98401277360287
12,"Fibroblasts",7.45568468816903
13,"Interneurons",2.43008104214028
14,"Endothelial",8.01330261443878
15,"Microglia",9.21759398052054
16,"Purkinje",5.12660814234667
