"gene","cluster","order"
"Etv1","Granule",1
"Rims1","Granule",2
"Scn2a","Granule",3
"Grm4","Granule",4
"Plp1","Oligodendrocytes",1
"Mbp","Oligodendrocytes",2
"Mobp","Oligodendrocytes",3
"Cnp","Oligodendrocytes",4
"Slc1a3","Bergmann_glia",1
"Ndrg2","Bergmann_glia",2
"Aqp4","Bergmann_glia",3
"Tubb2b","Bergmann_glia",4
"Ttn","Astrocytes",1
"Gfap","Astrocytes",2
"Aldh1l1","Astrocytes",3
"S100b","Astrocytes",4
"Kit","Interneurons",1
"Gad1","Interneurons",2
"Gad2","Interneurons",3
"Pvalb","Interneurons",4
"Cldn5","Endothelial",1
"Pecam1","Endothelial",2
"Vwf","Endothelial",3
"Flt1","Endothelial",4
"Itpr1","Purkinje",1
"Calb1","Purkinje",2
"Pcp4","Purkinje",3
"Car8","Purkinje",4
"Ptprz1","OPC",1
"Vcan","OPC",2
"Tnr","OPC",3
"Pdgfra","OPC",4
"Cd74","Microglia",1
"C1qb","Microglia",2
"C3","Microglia",3
"Csf1r","Microglia",4
"Dcn","Fibroblasts",1
"Apod","Fibroblasts",2
"Tagln","Fibroblasts",3
"Fbln1","Fibroblasts",4
