"CellType","DTA_mean","DTA_sd","CTL_mean","CTL_sd","t_test_p","mw_test_p","p_adj_fdr_t","p_adj_fdr_mw","Log2FC","Cohens_d","EffectSize"
"Granule",0.618833954841551,0.134436558242031,0.747447970056209,0.0280311451472347,0.236323117971983,0.4,0.415090190323072,0.5,-0.272420798340092,-1.32447794966176,"large"
"Oligodendrocytes",0.0620002950303683,0.0207684458873105,0.0866542301980033,0.0224660086103512,0.235702743213533,0.4,0.415090190323072,0.5,-0.482995098496602,-1.13959818719964,"large"
"Bergmann_glia",0.214175953588233,0.149190564126722,0.0736844316253444,0.00765243250120732,0.244238401189769,0.2,0.415090190323072,0.5,1.53936477429652,1.33000477695554,"large"
"Astrocytes",0.00122457068829794,0.000163592952457172,0.000971999889503646,0.000335984870198605,0.32894415979583,0.4,0.415090190323072,0.5,0.333248000884792,0.95582859309749,"large"
"Interneurons",0.0441713030008759,0.00548240347428511,0.0453248109356979,0.00358135364671468,0.777820783734802,1,0.777820783734802,1,-0.0371916112462127,-0.249111516307312,"small"
"Endothelial",0.00905312765804611,0.00258323854141518,0.013920552362032,0.00137814404470437,0.0622357152575031,0.1,0.415090190323072,0.5,-0.620728254814476,-2.35105595792064,"large"
"Purkinje",0.0285305841086044,0.0214530049204469,0.0128138203788225,0.00115026167166035,0.332072152258458,0.4,0.415090190323072,0.5,1.15480861122612,1.03458604743243,"large"
"OPC",0.00810166997623855,0.00195732349447855,0.00654738436544819,0.000534358590512183,0.301075483891526,0.4,0.415090190323072,0.5,0.307300642540714,1.08336205860649,"large"
"Microglia",0.00464071775306338,0.00137281661367265,0.00506907063091276,0.00141809296940947,0.726095435871808,0.7,0.777820783734802,0.777777777777778,-0.127373310212737,-0.306922535081186,"small"
"Fibroblasts",0.0092678233547212,0.000494603603715252,0.00756572955802587,0.00180893241027479,0.240542936922838,0.2,0.415090190323072,0.5,0.292751339382445,1.28357242702999,"large"
